step,upright,speed,reward,skill_name,fault_active,emergency_pending
218,0.9995,0.3847,0.4453,flat_walk_trot,False,False
219,0.999,0.3338,0.415,flat_walk_trot,False,False
220,0.9979,0.296,0.4317,flat_walk_trot,False,False
221,0.9971,0.3276,0.5438,flat_walk_trot,False,False
222,0.9962,0.3252,0.591,flat_walk_trot,False,False
223,0.995,0.318,0.6261,flat_walk_trot,False,False
224,0.994,0.3264,0.6417,flat_walk_trot,False,False
225,0.9937,0.2344,0.5471,flat_walk_trot,False,False
226,0.9939,0.1614,0.5412,flat_walk_trot,False,False
227,0.995,0.2443,0.5617,flat_walk_trot,False,False
228,0.9966,0.2899,0.5063,flat_walk_trot,False,False
229,0.9981,0.3855,0.494,flat_walk_trot,False,False
230,0.9993,0.4623,0.4955,flat_walk_trot,False,False
231,1.0,0.5526,0.4689,flat_walk_trot,False,False
232,0.9998,0.5868,0.416,flat_walk_trot,False,False
233,0.9996,0.3951,0.5211,flat_walk_trot,False,False
234,0.9996,0.5272,0.6989,flat_walk_trot,False,False
235,0.9993,0.4073,0.6438,flat_walk_trot,False,False
236,0.9992,0.2983,0.6264,flat_walk_trot,False,False
237,0.9983,0.302,0.7145,flat_walk_trot,False,False
238,0.998,0.1897,0.6075,flat_walk_trot,False,False
239,0.9977,0.1781,0.6502,flat_walk_trot,False,False
240,0.9972,0.2035,0.7016,flat_walk_trot,False,False
241,0.9979,0.1939,0.5901,flat_walk_trot,False,False
242,0.9985,0.3562,0.5992,flat_walk_trot,False,False
243,0.9991,0.4573,0.5827,flat_walk_trot,False,False
244,0.9997,0.4344,0.6007,flat_walk_trot,False,False
245,0.9999,0.3904,0.6628,flat_walk_trot,False,False
246,0.9998,0.2454,0.5729,flat_walk_trot,False,False
247,0.9997,0.4257,0.4598,flat_walk_trot,False,False
248,0.9995,0.3687,0.4724,flat_walk_trot,False,False
249,0.9989,0.3171,0.455,flat_walk_trot,False,False
250,0.9978,0.2937,0.4597,flat_walk_trot,False,False
251,0.9971,0.3398,0.5323,flat_walk_trot,False,False
252,0.9962,0.3261,0.5433,flat_walk_trot,False,False
253,0.995,0.3043,0.5473,flat_walk_trot,False,False
254,0.9943,0.3097,0.5609,flat_walk_trot,False,False
255,0.9938,0.2292,0.5111,flat_walk_trot,False,False
256,0.9939,0.1676,0.5161,flat_walk_trot,False,False
257,0.9951,0.2453,0.5291,flat_walk_trot,False,False
